2.11;6152.00;6002.00;4.470;4.438;20.671;305.50;165.38
2.12;6183.70;6032.90;4.470;4.437;20.582;305.68;165.39
2.13;6215.30;6063.70;4.470;4.435;20.495;305.85;165.39
2.14;6247.00;6094.60;4.470;4.433;20.408;306.02;165.40
2.15;6278.60;6125.50;4.469;4.431;20.322;306.19;165.40
2.16;6310.30;6156.40;4.469;4.430;20.238;306.35;165.40
2.17;6342.00;6187.30;4.469;4.428;20.154;306.52;165.41
2.18;6373.70;6218.20;4.469;4.426;20.071;306.68;165.41
2.19;6405.30;6249.10;4.468;4.424;19.988;306.84;165.42
2.20;6437.00;6280.00;4.468;4.422;19.907;307.01;165.42
2.21;6468.70;6311.00;4.468;4.420;19.826;307.17;165.43
2.22;6500.40;6341.90;4.468;4.418;19.746;307.33;165.43
2.23;6532.10;6372.80;4.467;4.416;19.667;307.50;165.44
2.24;6563.90;6403.80;4.467;4.414;19.589;307.66;165.44
2.25;6595.60;6434.70;4.467;4.412;19.511;307.82;165.45
2.26;6627.30;6465.70;4.466;4.410;19.435;307.99;165.45
2.27;6659.10;6496.70;4.466;4.408;19.359;308.15;165.46
2.28;6690.80;6527.60;4.466;4.406;19.283;308.31;165.46
2.29;6722.60;6558.60;4.465;4.404;19.209;308.47;165.46
2.30;6754.30;6589.60;4.465;4.402;19.135;308.63;165.47
2.31;6786.10;6620.60;4.465;4.400;19.062;308.79;165.47
2.32;6817.90;6651.60;4.464;4.399;18.989;308.95;165.47
2.33;6849.60;6682.60;4.464;4.397;18.917;309.11;165.47
2.34;6881.40;6713.60;4.464;4.395;18.846;309.27;165.48
2.35;6913.20;6744.60;4.463;4.393;18.776;309.43;165.48
2.36;6945.00;6775.60;4.463;4.391;18.706;309.59;165.48
2.37;6976.80;6806.70;4.463;4.389;18.637;309.75;165.48
2.38;7008.60;6837.70;4.462;4.387;18.569;309.91;165.48
2.39;7040.50;6868.70;4.462;4.385;18.501;310.07;165.49
2.40;7072.30;6899.80;4.461;4.383;18.434;310.23;165.49
2.41;7104.10;6930.80;4.461;4.382;18.368;310.38;165.49
2.42;7136.00;6961.90;4.461;4.380;18.302;310.54;165.49
2.43;7167.80;6993.00;4.460;4.378;18.237;310.70;165.49
2.44;7199.70;7024.10;4.460;4.376;18.173;310.86;165.49
2.45;7231.50;7055.10;4.459;4.374;18.109;311.02;165.50
2.46;7263.40;7086.20;4.459;4.372;18.045;311.18;165.50
2.47;7295.30;7117.30;4.459;4.370;17.983;311.34;165.50
2.48;7327.10;7148.40;4.458;4.368;17.920;311.50;165.50
2.49;7359.00;7179.50;4.458;4.367;17.859;311.66;165.50
2.50;7390.90;7210.60;4.457;4.365;17.798;311.82;165.50
2.51;7422.80;7241.80;4.457;4.363;17.737;311.98;165.51
2.52;7454.70;7272.90;4.456;4.361;17.677;312.14;165.51
2.53;7486.60;7304.00;4.456;4.359;17.618;312.29;165.51
2.54;7518.50;7335.20;4.456;4.357;17.559;312.44;165.51
2.55;7550.50;7366.30;4.455;4.355;17.500;312.60;165.51
2.56;7582.40;7397.50;4.455;4.354;17.442;312.75;165.52
2.57;7614.30;7428.60;4.454;4.352;17.384;312.91;165.52
2.58;7646.30;7459.80;4.454;4.350;17.327;313.06;165.52
2.59;7678.20;7490.90;4.453;4.347;17.270;313.20;165.52
2.60;7710.20;7522.10;4.453;4.344;17.213;313.34;165.52
2.61;7742.10;7553.30;4.452;4.342;17.157;313.47;165.52
2.62;7774.10;7584.50;4.452;4.339;17.101;313.61;165.53
2.63;7806.10;7615.70;4.451;4.336;17.045;313.75;165.53
2.64;7838.00;7646.90;4.451;4.334;16.990;313.88;165.53
2.65;7870.00;7678.10;4.450;4.330;16.936;314.01;165.53
2.66;7902.00;7709.30;4.450;4.327;16.882;314.14;165.53
2.67;7934.00;7740.50;4.449;4.323;16.828;314.27;165.53
2.68;7966.00;7771.70;4.449;4.320;16.775;314.39;165.54
