5.0;[0,0.189,0.378,0.567,0.757,0.946,1.137,1.327,1.518,1.71,1.902,2.095,2.289,2.483,2.679,2.875,3.073,3.271,3.469,3.668,3.867,4.065,4.263,4.46,4.654,4.845,5.032,5.214,5.391,5.563,5.73,5.892,6.049,6.203,6.353,6.499,6.641,6.781,6.918,7.051,7.183,7.312,7.439,7.564,7.685,7.802,7.912,8.015,8.113,8.204,8.29,8.37,8.446,8.516,8.582,8.644,8.702,8.756,8.805,8.849,8.889,8.923,8.954,8.98,9.001,9.018,9.03,9.039,9.044,9.044,9.04,9.033,9.021,9.006,8.988,8.967,8.944,8.919,8.892,8.864,8.834,8.801,8.766,8.729,8.689,8.647,8.602,8.554,8.503,8.449,8.393]
5.2;[0,0.185,0.371,0.556,0.742,0.928,1.115,1.301,1.489,1.676,1.865,2.054,2.244,2.434,2.626,2.819,3.013,3.207,3.402,3.598,3.795,3.991,4.187,4.383,4.576,4.768,4.957,5.142,5.323,5.499,5.669,5.835,5.997,6.154,6.308,6.458,6.605,6.748,6.889,7.027,7.162,7.295,7.426,7.554,7.676,7.791,7.9,8.002,8.099,8.189,8.275,8.355,8.43,8.501,8.567,8.629,8.688,8.741,8.79,8.834,8.875,8.91,8.941,8.967,8.988,9.005,9.019,9.028,9.033,9.034,9.031,9.024,9.014,9,8.984,8.966,8.946,8.924,8.901,8.875,8.847,8.817,8.783,8.748,8.709,8.667,8.622,8.574,8.523,8.469,8.412]
5.4;[0,0.182,0.364,0.546,0.729,0.911,1.095,1.278,1.462,1.647,1.832,2.017,2.204,2.391,2.579,2.768,2.959,3.15,3.342,3.535,3.729,3.923,4.117,4.311,4.505,4.697,4.887,5.074,5.257,5.437,5.611,5.781,5.946,6.108,6.265,6.419,6.57,6.718,6.862,7.004,7.144,7.281,7.414,7.542,7.663,7.777,7.884,7.986,8.081,8.172,8.256,8.337,8.412,8.483,8.55,8.613,8.67,8.724,8.773,8.818,8.858,8.894,8.925,8.951,8.973,8.991,9.005,9.014,9.02,9.022,9.02,9.014,9.006,8.996,8.983,8.968,8.951,8.932,8.911,8.887,8.861,8.832,8.8,8.765,8.726,8.684,8.639,8.591,8.54,8.487,8.43]
5.6;[0,0.179,0.358,0.538,0.717,0.897,1.077,1.258,1.439,1.62,1.802,1.985,2.168,2.352,2.538,2.724,2.911,3.099,3.288,3.479,3.67,3.862,4.054,4.247,4.439,4.631,4.821,5.009,5.195,5.377,5.555,5.729,5.898,6.064,6.225,6.383,6.537,6.689,6.837,6.983,7.126,7.266,7.4,7.526,7.646,7.759,7.866,7.966,8.061,8.152,8.236,8.316,8.392,8.464,8.531,8.593,8.651,8.705,8.754,8.799,8.839,8.875,8.906,8.934,8.957,8.975,8.989,9,9.006,9.008,9.008,9.005,9,8.992,8.983,8.972,8.958,8.941,8.921,8.899,8.874,8.845,8.814,8.779,8.74,8.699,8.654,8.606,8.556,8.503,8.447]
5.8;[0,0.177,0.353,0.53,0.707,0.884,1.062,1.24,1.418,1.597,1.776,1.956,2.137,2.318,2.501,2.684,2.868,3.053,3.24,3.428,3.617,3.806,3.997,4.188,4.379,4.57,4.76,4.949,5.136,5.321,5.502,5.679,5.852,6.021,6.186,6.348,6.506,6.661,6.813,6.963,7.109,7.249,7.382,7.507,7.626,7.738,7.844,7.944,8.039,8.128,8.214,8.294,8.371,8.443,8.51,8.572,8.63,8.684,8.733,8.778,8.818,8.854,8.887,8.914,8.938,8.957,8.972,8.983,8.991,8.996,8.998,8.997,8.995,8.991,8.985,8.976,8.964,8.95,8.931,8.91,8.885,8.857,8.825,8.79,8.752,8.711,8.667,8.62,8.57,8.517,8.461]
6.0;[0,0.174,0.349,0.523,0.698,0.872,1.048,1.224,1.4,1.576,1.753,1.931,2.109,2.288,2.468,2.648,2.83,3.013,3.197,3.382,3.569,3.756,3.945,4.134,4.324,4.514,4.704,4.893,5.081,5.267,5.451,5.631,5.808,5.98,6.149,6.314,6.476,6.635,6.791,6.944,7.09,7.229,7.36,7.485,7.603,7.714,7.82,7.92,8.015,8.104,8.19,8.27,8.348,8.418,8.487,8.55,8.608,8.661,8.711,8.755,8.796,8.832,8.865,8.893,8.918,8.938,8.954,8.967,8.977,8.985,8.99,8.993,8.994,8.992,8.988,8.98,8.97,8.956,8.939,8.918,8.894,8.865,8.834,8.8,8.762,8.721,8.678,8.631,8.582,8.529,8.474]
6.2;[0,0.172,0.345,0.517,0.69,0.862,1.036,1.21,1.383,1.558,1.733,1.908,2.084,2.261,2.439,2.617,2.797,2.977,3.159,3.342,3.526,3.712,3.898,4.086,4.274,4.463,4.652,4.842,5.03,5.217,5.403,5.586,5.765,5.941,6.114,6.282,6.448,6.611,6.77,6.923,7.068,7.206,7.336,7.46,7.578,7.689,7.794,7.894,7.989,8.079,8.164,8.246,8.322,8.395,8.462,8.526,8.583,8.637,8.686,8.731,8.772,8.809,8.842,8.871,8.896,8.918,8.936,8.952,8.965,8.976,8.984,8.99,8.993,8.993,8.99,8.984,8.974,8.961,8.944,8.924,8.9,8.872,8.842,8.808,8.771,8.731,8.687,8.641,8.592,8.541,8.486]
6.4;[0,0.171,0.341,0.512,0.683,0.854,1.025,1.197,1.369,1.542,1.715,1.888,2.063,2.237,2.413,2.59,2.767,2.946,3.125,3.306,3.488,3.672,3.857,4.042,4.229,4.417,4.606,4.794,4.983,5.171,5.358,5.542,5.725,5.904,6.08,6.252,6.421,6.587,6.747,6.899,7.043,7.179,7.31,7.433,7.55,7.661,7.766,7.866,7.962,8.052,8.138,8.219,8.297,8.369,8.437,8.499,8.558,8.61,8.661,8.707,8.748,8.786,8.819,8.849,8.875,8.898,8.92,8.938,8.955,8.969,8.98,8.988,8.993,8.994,8.992,8.986,8.977,8.964,8.947,8.927,8.904,8.877,8.847,8.814,8.778,8.738,8.696,8.65,8.602,8.551,8.497]
6.6;[0,0.169,0.338,0.507,0.677,0.846,1.016,1.186,1.357,1.528,1.699,1.871,2.044,2.217,2.391,2.566,2.741,2.918,3.096,3.275,3.455,3.636,3.819,4.004,4.189,4.376,4.563,4.751,4.94,5.128,5.316,5.502,5.686,5.868,6.048,6.223,6.396,6.563,6.722,6.873,7.016,7.152,7.281,7.404,7.52,7.631,7.737,7.837,7.933,8.024,8.111,8.192,8.269,8.343,8.409,8.472,8.53,8.586,8.634,8.682,8.722,8.761,8.795,8.826,8.855,8.881,8.905,8.927,8.946,8.963,8.976,8.985,8.991,8.994,8.992,8.987,8.977,8.965,8.949,8.929,8.907,8.881,8.851,8.819,8.783,8.745,8.703,8.658,8.61,8.56,8.506]
6.8;[0,0.168,0.336,0.503,0.671,0.839,1.008,1.177,1.346,1.516,1.686,1.856,2.027,2.199,2.371,2.545,2.719,2.894,3.07,3.247,3.426,3.605,3.787,3.969,4.153,4.339,4.525,4.713,4.9,5.089,5.277,5.464,5.651,5.835,6.017,6.196,6.37,6.536,6.694,6.844,6.986,7.122,7.25,7.373,7.489,7.6,7.706,7.807,7.903,7.995,8.082,8.164,8.241,8.313,8.379,8.444,8.503,8.559,8.608,8.655,8.696,8.736,8.772,8.806,8.837,8.866,8.893,8.917,8.938,8.956,8.971,8.981,8.988,8.991,8.99,8.985,8.977,8.965,8.949,8.93,8.908,8.883,8.854,8.823,8.788,8.75,8.709,8.665,8.618,8.568,8.515]
